City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Isangel,VU,84.2,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
170,Manggar,ID,79.43,overcast clouds,-2.8833,108.2667,Guest Hotel
172,Kalianget,ID,79.61,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
174,Hualmay,PE,69.76,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
177,Tari,NG,79.84,clear sky,12.4086,4.4914,
178,Praia,CV,69.8,broken clouds,14.9215,-23.5087,LT Aparthotel
180,Puerto Del Rosario,ES,66.2,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
184,Mozarlandia,BR,79.65,scattered clouds,-14.7447,-50.5706,Hotel Santa Mônica
185,Portland,US,70.0,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
186,Sao Filipe,CV,71.91,scattered clouds,14.8961,-24.4956,Tortuga B&B
188,Tolaga Bay,NZ,68.11,few clouds,-38.3667,178.3,Tolaga Bay Motel
191,Kavaratti,IN,82.94,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
193,Akonolinga,CM,68.83,scattered clouds,3.7667,12.25,Le Diamant De Mireille
194,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
195,Saldanha,ZA,62.6,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
196,Saravena,CO,73.11,overcast clouds,6.9538,-71.8752,Hotel Diamante Saravena
199,Linqiong,CN,62.01,scattered clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
200,Waingapu,ID,80.31,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
202,Mamallapuram,IN,80.6,mist,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
203,Esperance,AU,66.2,overcast clouds,-33.8667,121.9,Hospitality Esperance
204,Lorengau,PG,84.33,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
206,Mwene-Ditu,CD,64.65,overcast clouds,-7.0,23.45,Hôtel Kamas
207,Ulladulla,AU,68.0,clear sky,-35.35,150.4667,Sandpiper Motel
208,Ibra,OM,76.06,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
209,Dargaville,NZ,72.14,broken clouds,-35.9333,173.8833,Parkview Motel
210,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
212,Saquena,PE,73.33,overcast clouds,-4.6667,-73.5167,
213,Vila,PT,73.4,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
216,Cavalcante,BR,74.17,scattered clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
220,Coahuayana,MX,82.4,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
226,Padang,ID,73.4,broken clouds,-0.9492,100.3543,Mercure Padang
227,Namatanai,PG,84.34,overcast clouds,-3.6667,152.4333,Namatanai Hotel
