City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Tari,NG,12.4086,4.4914,79.84,7,1,12.68,clear sky
178,Praia,CV,14.9215,-23.5087,69.8,78,75,14.97,broken clouds
179,Chokurdakh,RU,70.6333,147.9167,0.12,97,99,5.1,overcast clouds
180,Puerto Del Rosario,ES,28.5004,-13.8627,66.2,72,0,5.75,clear sky
181,Bethel,US,41.3712,-73.414,57.2,88,90,8.05,overcast clouds
182,Severo-Kurilsk,RU,50.6789,156.125,37.11,98,100,11.95,light rain
183,Kempten,DE,47.7267,10.3139,51.01,66,17,3.0,few clouds
184,Mozarlandia,BR,-14.7447,-50.5706,79.65,58,41,4.99,scattered clouds
185,Portland,US,45.5234,-122.6762,70.0,28,75,3.44,broken clouds
186,Sao Filipe,CV,14.8961,-24.4956,71.91,74,26,11.14,scattered clouds
187,Andenes,NO,69.3143,16.1194,35.6,80,98,10.36,overcast clouds
188,Tolaga Bay,NZ,-38.3667,178.3,68.11,65,21,16.6,few clouds
189,Berdigestyakh,RU,62.0989,126.6992,19.18,93,98,5.61,overcast clouds
190,Zyryanka,RU,65.75,150.85,11.32,83,98,11.03,overcast clouds
191,Kavaratti,IN,10.5669,72.642,82.94,73,68,13.76,broken clouds
192,Rocha,UY,-34.4833,-54.3333,58.05,87,50,2.57,scattered clouds
193,Akonolinga,CM,3.7667,12.25,68.83,86,33,3.06,scattered clouds
194,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,0,4.61,clear sky
195,Saldanha,ZA,-33.0117,17.9442,62.6,77,100,6.91,overcast clouds
196,Saravena,CO,6.9538,-71.8752,73.11,83,95,3.76,overcast clouds
197,Ketchikan,US,55.3422,-131.6461,39.2,100,90,26.46,moderate rain
198,Leczna,PL,51.3012,22.8814,44.6,87,85,2.3,overcast clouds
199,Linqiong,CN,30.4159,103.4609,62.01,88,40,2.24,scattered clouds
200,Waingapu,ID,-9.6567,120.2641,80.31,79,90,3.09,overcast clouds
201,Yatou,CN,37.15,122.3833,51.93,44,100,4.61,overcast clouds
202,Mamallapuram,IN,12.6264,80.1722,80.6,83,20,6.91,mist
203,Esperance,AU,-33.8667,121.9,66.2,88,90,6.91,overcast clouds
204,Lorengau,PG,-2.0226,147.2712,84.33,70,46,2.89,moderate rain
205,Aklavik,CA,68.2191,-135.0107,-0.4,65,90,10.36,snow
206,Mwene-Ditu,CD,-7.0,23.45,64.65,96,87,1.74,overcast clouds
207,Ulladulla,AU,-35.35,150.4667,68.0,72,0,9.22,clear sky
208,Ibra,OM,22.6906,58.5334,76.06,31,44,4.99,scattered clouds
209,Dargaville,NZ,-35.9333,173.8833,72.14,54,62,5.12,broken clouds
210,Mahebourg,MU,-20.4081,57.7,75.2,100,75,6.2,light rain
211,Tilichiki,RU,60.4667,166.1,27.46,89,100,3.69,overcast clouds
212,Saquena,PE,-4.6667,-73.5167,73.33,97,95,2.01,overcast clouds
213,Vila,PT,42.0304,-8.1588,73.4,28,0,9.22,clear sky
214,Ekhabi,RU,53.5102,142.9671,29.7,81,33,8.23,scattered clouds
215,Pangnirtung,CA,66.1451,-65.7125,8.6,96,100,4.43,light snow
216,Cavalcante,BR,-13.7975,-47.4583,74.17,62,44,3.06,scattered clouds
217,Khatanga,RU,71.9667,102.5,-40.4,99,56,2.68,broken clouds
